Sum of FactValueNumeric,Column Labels,,
Row Labels,Female,Male,Grand Total
Bangladesh,9.91,22.9,32.81
15-29  years,4.01,5.52,9.53
30-49 years,1.67,4.75,6.42
50-69 years,1.71,4.43,6.14
70+  years,2.52,8.2,10.72
Bhutan,25.72,47.26,72.98
15-29  years,3.38,5.38,8.76
30-49 years,3.06,6.82,9.88
50-69 years,6.19,10.43,16.62
70+  years,13.09,24.63,37.72
Democratic People's Republic of Korea,46.69,68.4,115.09
15-29  years,4.01,6.27,10.28
30-49 years,7.28,9.4,16.68
50-69 years,12.75,18.32,31.07
70+  years,22.65,34.41,57.06
India,61.9,82.43,144.33
15-29  years,16.98,15.01,31.99
30-49 years,12.62,19.54,32.16
50-69 years,14.27,20.79,35.06
70+  years,18.03,27.09,45.12
Maldives,5.47,41.72,47.19
15-29  years,0.35,1.59,1.94
30-49 years,0.14,1.75,1.89
50-69 years,0.34,2.29,2.63
70+  years,4.64,36.09,40.73
Myanmar,6.52,32.25,38.77
15-29  years,1.16,5.36,6.52
30-49 years,1.05,6.22,7.27
50-69 years,1.74,6.95,8.69
70+  years,2.57,13.72,16.29
Nepal,41.32,94.82,136.14
15-29  years,11.17,16.94,28.11
30-49 years,7.8,18.63,26.43
50-69 years,9.24,20.63,29.87
70+  years,13.11,38.62,51.73
Sri Lanka,34.41,149.76,184.17
15-29  years,10.38,25.29,35.67
30-49 years,4.77,31.39,36.16
50-69 years,5.2,31.71,36.91
70+  years,14.06,61.37,75.43
Thailand,26.08,125.06,151.14
15-29  years,5.68,36.75,42.43
30-49 years,7.12,45.95,53.07
50-69 years,5.67,20.05,25.72
70+  years,7.61,22.31,29.92
Timor-Leste,15.21,35.24,50.45
15-29  years,3.5,6.34,9.84
30-49 years,2.38,7.23,9.61
50-69 years,4,8.06,12.06
70+  years,5.33,13.61,18.94
Grand Total,273.23,699.84,973.07
